6.3333333333,230,2
6.25,215,2
6.5,215,2
6.25,195,2
6.0833333333,200,2
6.5833333333,205,2
6.25,200,2
6.25,190,2
6,210,2
5.9166666667,180,2
6.25,175,2
6.1666666667,180,2
6.25,180,2
6.1666666667,175,2
6.3333333333,220,2
6.1666666667,215,2
6.1666666667,220,2
6.5,215,2
6.25,205,2
6.1666666667,205,2
6.25,180,2
6.1666666667,195,2
6.1666666667,205,2
6.0833333333,205,2
6.25,230,2
6.25,185,2
6.0833333333,225,2
6,195,2
6.0833333333,195,2
6.1666666667,215,2
6.3333333333,215,2
6.0833333333,185,2
6.1666666667,190,2
6.3333333333,225,2
6,222,1
6.5,300,1
6.25,240,1
6.3333333333,270,1
5.75,191,1
6.0833333333,193,1
6,210,1
6,210,1
5.8333333333,210,1
6.25,250,1
6.3333333333,233,1
6.4166666667,327,1
6.5,310,1
6.3333333333,330,1
6.5,245,1
6.25,300,1
5.8333333333,186,1
6.5833333333,330,1
6,197,1
6.4166666667,317,1
5.9166666667,212,1
6.3333333333,319,1
6.0833333333,237,1
6.25,275,1
6.5,285,1
6.0833333333,222,1
5.9166666667,200,1
6,198,1
6.5,250,1
6.1666666667,228,1
6.0833333333,200,1
6.1666666667,250,1
6,217,1
6.1666666667,215,1
6,340,1
6.25,300,1
6.3333333333,308,1
6.25,313,1
6.1666666667,210,1
6.3333333333,275,1
6.5,320,1
6.25,265,1
6.0833333333,183,1
6,200,1
6.25,251,1
5.8333333333,185,1
5.9166666667,200,1
5.8333333333,225,1
6.0833333333,340,1
6.3333333333,257,1
6.25,260,1
5.6666666667,200,1
6.4166666667,300,1
5.6666666667,165,3
5.4166666667,150,3
5.5833333333,150,3
5.4166666667,140,3
5.5833333333,155,3
5.3333333333,145,3
5.5833333333,155,3
5.5,140,3
5.75,162,3
5.3333333333,165,3
