6.1666666667,253,1
6.4166666667,315,1
5.9166666667,195,1
6.0833333333,251,1
6.0833333333,240,1
6.5,325,1
6.25,202,1
5.75,177,1
6,216,1
6.25,244,1
6.1666666667,206,1
6.1666666667,197,1
6,195,1
6.4166666667,337,1
5.9166666667,198,1
6.1666666667,254,1
6,204,1
5.8333333333,200,1
6.25,200,1
6.3333333333,226,1
5.9166666667,195,1
6.25,305,1
6.25,305,1
6.3333333333,259,1
6.4166666667,316,1
6.5,286,1
5.75,201,1
6.1666666667,302,1
6.0833333333,215,1
6.25,341,1
6,198,1
6.5,335,1
6.1666666667,216,1
6,200,1
6.6666666667,338,1
6.0833333333,242,1
5.9166666667,236,1
6.25,218,1
6.1666666667,246,1
6.1666666667,298,1
6.1666666667,301,1
6.1666666667,243,1
6.1666666667,190,1
6.3333333333,317,1
6.4166666667,319,1
6.4166666667,265,1
6,243,1
6.4166666667,252,1
6,256,1
5.8333333333,205,1
6.1666666667,238,1
6.0833333333,216,1
6.4166666667,254,1
